ts,home_id,day,p_cons,p_prod,p_tot
2023-01-14 07:00:00+01:00,CDB005,2023-01-14,223.65486766173777,0.0,223.65486766173777
2023-01-14 07:15:00+01:00,CDB005,2023-01-14,175.9437497002738,0.0,175.9437497002738
2023-01-14 07:30:00+01:00,CDB005,2023-01-14,229.46371662511234,0.0,229.46371662511234
2023-01-14 07:45:00+01:00,CDB005,2023-01-14,275.3750005449568,0.0,275.3750005449568
2023-01-14 08:00:00+01:00,CDB005,2023-01-14,279.6964604200515,0.0,279.6964604200515
2023-01-14 08:15:00+01:00,CDB005,2023-01-14,262.5508929661342,0.0,262.5508929661342
2023-01-14 08:30:00+01:00,CDB005,2023-01-14,279.8876110515763,0.0,279.8876110515763
2023-01-14 08:45:00+01:00,CDB005,2023-01-14,299.77500098092213,0.0,299.77500098092213
2023-01-14 09:00:00+01:00,CDB005,2023-01-14,230.1451321492153,0.0,230.1451321492153
2023-01-14 09:15:00+01:00,CDB005,2023-01-14,264.55982181004117,0.0,264.55982181004117
2023-01-14 09:30:00+01:00,CDB005,2023-01-14,249.8796467738869,0.0,249.8796467738869
2023-01-14 09:45:00+01:00,CDB005,2023-01-14,342.57499980926514,0.0,342.57499980926514
2023-01-14 10:00:00+01:00,CDB005,2023-01-14,314.7566373031751,0.0,314.7566373031751
2023-01-14 10:15:00+01:00,CDB005,2023-01-14,329.3196423394339,0.0,329.3196423394339
2023-01-14 10:30:00+01:00,CDB005,2023-01-14,305.36991220659917,0.0,305.36991220659917
2023-01-14 10:45:00+01:00,CDB005,2023-01-14,363.34107249123707,0.0,363.34107249123707
2023-01-14 11:00:00+01:00,CDB005,2023-01-14,238.77964661184666,0.0,238.77964661184666
2023-01-14 11:15:00+01:00,CDB005,2023-01-14,492.13571126120434,0.0,492.13571126120434
2023-01-14 11:30:00+01:00,CDB005,2023-01-14,319.5141596161159,0.0,319.5141596161159
2023-01-14 11:45:00+01:00,CDB005,2023-01-14,235.77232129233224,0.0,235.77232129233224
2023-01-14 12:00:00+01:00,CDB005,2023-01-14,249.97964518049122,0.0,249.97964518049122
2023-01-14 12:15:00+01:00,CDB005,2023-01-14,245.14285796029228,0.0,245.14285796029228
2023-01-14 12:30:00+01:00,CDB005,2023-01-14,361.6557511861345,0.0,361.6557511861345
2023-01-14 12:45:00+01:00,CDB005,2023-01-14,434.21428407941545,0.0,434.21428407941545
2023-01-14 13:00:00+01:00,CDB005,2023-01-14,361.8628318584071,0.0,361.8628318584071
2023-01-14 13:15:00+01:00,CDB005,2023-01-14,515.7160715375628,0.0,515.7160715375628
2023-01-14 13:30:00+01:00,CDB005,2023-01-14,371.8300900079508,0.0,371.8300900079508
2023-01-14 13:45:00+01:00,CDB005,2023-01-14,320.9035726274763,0.0,320.9035726274763
2023-01-14 14:00:00+01:00,CDB005,2023-01-14,307.6504424778761,0.0,307.6504424778761
2023-01-14 14:15:00+01:00,CDB005,2023-01-14,309.3883912222726,0.0,309.3883912222726
2023-01-14 14:30:00+01:00,CDB005,2023-01-14,316.97167941743294,0.0,316.97167941743294
2023-01-14 14:45:00+01:00,CDB005,2023-01-14,253.01339326586043,0.0,253.01339326586043
2023-01-14 15:00:00+01:00,CDB005,2023-01-14,256.5530974801663,0.0,256.5530974801663
2023-01-14 15:15:00+01:00,CDB005,2023-01-14,226.04553549630302,0.0,226.04553549630302
2023-01-14 15:30:00+01:00,CDB005,2023-01-14,285.4575230421218,0.0,285.4575230421218
2023-01-14 15:45:00+01:00,CDB005,2023-01-14,249.9955370766776,0.0,249.9955370766776
2023-01-14 16:00:00+01:00,CDB005,2023-01-14,255.19291930072075,0.0,255.19291930072075
2023-01-14 16:15:00+01:00,CDB005,2023-01-14,240.1142864227295,0.0,240.1142864227295
2023-01-14 16:30:00+01:00,CDB005,2023-01-14,252.4053089513188,0.0,252.4053089513188
2023-01-14 16:45:00+01:00,CDB005,2023-01-14,209.89285714285714,0.0,209.89285714285714
2023-01-14 17:00:00+01:00,CDB005,2023-01-14,228.50707953799088,0.0,228.50707953799088
2023-01-14 17:15:00+01:00,CDB005,2023-01-14,300.17053495134627,0.0,300.17053495134627
2023-01-14 17:30:00+01:00,CDB005,2023-01-14,313.67522086084415,0.0,313.67522086084415
2023-01-14 17:45:00+01:00,CDB005,2023-01-14,270.77387395635384,0.0,270.77387395635384
2023-01-14 18:00:00+01:00,CDB005,2023-01-14,301.7177018697283,0.0,301.7177018697283
2023-01-14 18:15:00+01:00,CDB005,2023-01-14,304.4946433476039,0.0,304.4946433476039
2023-01-14 18:30:00+01:00,CDB005,2023-01-14,457.2265506170492,0.0,457.2265506170492
2023-01-14 18:45:00+01:00,CDB005,2023-01-14,378.3535723005022,0.0,378.3535723005022
